Product_ID,Product_Name,Category,Gender,Brand,City,Price_INR,Discount_%,Rating,Season,Sales
1,Kids T-Shirt,Casual,Children,Pantaloons,Delhi,770,30,3.2,All,399
2,Kids T-Shirt,Sports,Children,Reliance Trends,Mumbai,582,5,3.5,Festival,328
3,Kurta,Formal,Male,Zudio,Delhi,2038,20,3.6,Monsoon,465
4,Track Pants,Formal,Male,Westside,Hyderabad,835,5,4.9,Festival,192
5,T-Shirt,Winter,Male,Westside,Hyderabad,2671,10,4.6,Summer,393
6,Jeans,Casual,Female,Reliance Trends,Chennai,1399,40,4.3,Festival,473
7,Jeans,Formal,Female,Reliance Trends,Kolkata,1132,40,3.6,Summer,60
8,Track Pants,Casual,Male,Westside,Bangalore,2802,40,3.7,Festival,209
9,Saree,Ethnic,Female,Max,Kolkata,899,20,4.5,Summer,103
10,Lehenga,Ethnic,Female,Pantaloons,Kolkata,1527,40,4.5,Monsoon,48
11,Track Pants,Casual,Male,Zudio,Hyderabad,470,5,4.8,All,310
12,Kids Jeans,Formal,Children,Zudio,Kolkata,2078,5,3.5,Festival,146
13,Kids Dress,Sports,Children,Fabindia,Chennai,1953,20,3.8,All,132
14,Kurta,Winter,Male,Reliance Trends,Mumbai,825,30,3.3,Summer,368
15,Jeans,Casual,Female,Zudio,Chennai,2116,20,3.5,Festival,303
16,Blazer,Casual,Male,Westside,Kolkata,1592,0,3.6,Monsoon,100
17,Kurti,Ethnic,Female,Pantaloons,Chennai,3937,0,4.7,Monsoon,172
18,Kids Dress,Sports,Children,Pantaloons,Hyderabad,3322,5,4.1,Winter,418
19,Kids T-Shirt,Sports,Children,Zudio,Mumbai,657,10,4.8,All,445
20,Saree,Casual,Female,Max,Mumbai,549,30,4,Winter,55
21,Kids Shorts,Formal,Children,Max,Delhi,1284,20,4.7,Festival,236
22,Kurta,Formal,Male,Zudio,Kolkata,2860,10,3.9,All,284
23,Kurti,Formal,Female,Reliance Trends,Hyderabad,285,20,4.1,Winter,321
24,T-Shirt,Casual,Male,Pantaloons,Mumbai,3907,0,4.7,Summer,56
25,Kids Shorts,Ethnic,Children,Pantaloons,Chennai,740,30,4.9,Festival,312
26,Kids Jacket,Formal,Children,Zudio,Delhi,585,0,4.3,Festival,201
27,Lehenga,Winter,Female,Fabindia,Kolkata,2845,0,3.1,Summer,392
28,Skirt,Casual,Female,Pantaloons,Delhi,2395,15,3.3,Winter,113
29,Lehenga,Formal,Female,Zudio,Chennai,600,0,4.3,Summer,296
30,T-Shirt,Formal,Male,Zudio,Bangalore,2170,5,4.7,Winter,482
31,Shirt,Winter,Male,Zudio,Hyderabad,3994,40,4.6,Summer,166
32,Salwar Suit,Sports,Female,Pantaloons,Delhi,1414,5,4.9,Festival,316
33,Kids Dress,Casual,Children,Reliance Trends,Mumbai,2591,15,4,All,456
34,Kids Shorts,Casual,Children,Reliance Trends,Delhi,479,20,3.1,Monsoon,461
35,Jacket,Casual,Male,Pantaloons,Chennai,2634,0,4.2,Monsoon,234
36,Kids Dress,Sports,Children,Westside,Hyderabad,1035,30,4.4,Monsoon,142
37,Lehenga,Formal,Female,Zudio,Hyderabad,3278,0,3,All,338
38,Kids T-Shirt,Casual,Children,Pantaloons,Chennai,1285,5,4.9,Monsoon,471
39,Shirt,Ethnic,Male,Pantaloons,Bangalore,3614,20,4.4,All,333
40,Kids Dress,Casual,Children,Westside,Kolkata,623,5,3.5,Monsoon,475
41,Blazer,Sports,Male,Westside,Hyderabad,2676,5,4.4,Winter,124
42,Kids Tracksuit,Ethnic,Children,Zudio,Hyderabad,3907,40,3.1,Monsoon,344
43,Skirt,Ethnic,Female,Reliance Trends,Hyderabad,3357,5,4.3,Summer,154
44,Blazer,Winter,Male,Fabindia,Bangalore,2496,0,3.2,Monsoon,472
45,Kids Shorts,Sports,Children,Westside,Chennai,2462,5,3.9,Summer,41
46,Top,Casual,Female,Pantaloons,Kolkata,1221,30,3.2,All,419
47,Kids Jacket,Sports,Children,Pantaloons,Delhi,3475,40,3.4,Winter,231
48,Shirt,Ethnic,Male,Fabindia,Kolkata,3519,5,3.5,Festival,423
49,Kids T-Shirt,Winter,Children,Zudio,Delhi,1016,40,4.8,Summer,199
50,Skirt,Formal,Female,Reliance Trends,Kolkata,990,15,3.7,Winter,462
51,Track Pants,Ethnic,Male,Fabindia,Chennai,1836,30,5,All,294
52,Kurti,Casual,Female,Pantaloons,Chennai,1286,0,3.2,All,242
53,Salwar Suit,Ethnic,Female,Max,Chennai,672,15,4.8,Festival,117
54,Kurti,Winter,Female,Max,Chennai,3012,30,4.9,Summer,397
55,Kids Shorts,Ethnic,Children,Reliance Trends,Kolkata,3970,10,4.2,Festival,359
56,Blazer,Ethnic,Male,Westside,Kolkata,1871,10,3.8,Monsoon,171
57,Kids Shorts,Formal,Children,Fabindia,Bangalore,2973,30,4.8,Festival,335
58,Kids Jeans,Winter,Children,Reliance Trends,Hyderabad,1374,5,3.9,Monsoon,316
59,Kids Tracksuit,Ethnic,Children,Zudio,Bangalore,2966,5,4,Festival,426
60,Kids Shorts,Casual,Children,Max,Kolkata,2791,20,3.7,All,439
61,Blazer,Ethnic,Male,Pantaloons,Delhi,299,0,3.5,Winter,263
62,Kids T-Shirt,Winter,Children,Fabindia,Chennai,995,30,4.4,Festival,273
63,Saree,Formal,Female,Reliance Trends,Bangalore,1095,5,4.6,Summer,376
